slice_type,slice_name,n,mdape,ppe10,ppe20,median_signed_pct_error,overvaluation_rate,undervaluation_rate,median_valuation_ratio,median_comp_count,median_comp_dispersion
borough_segment,4|SMALL_MULTI,338,0.4280169215774735,0.1390532544378698,0.2514792899408284,-0.17531059395574866,0.2958579881656805,0.5650887573964497,0.8246894060442513,,
neighborhood,ELMHURST,634,0.4258943509578,0.16876971608832808,0.30757097791798105,0.1194493072555189,0.5126182965299685,0.3186119873817035,1.119449307255519,,
neighborhood,MIDTOWN EAST,1140,0.42420488863636363,0.1394736842105263,0.25877192982456143,0.11974018817315316,0.5140350877192983,0.34649122807017546,1.1197401881731532,,
neighborhood,MORNINGSIDE HEIGHTS,156,0.4238230088117574,0.10897435897435898,0.2564102564102564,-0.0005871961538461539,0.41025641025641024,0.4807692307692308,0.9994128038461538,,
neighborhood,NAVY YARD,19,0.4206446170520231,0.0,0.2631578947368421,-0.36562798913043476,0.2631578947368421,0.7368421052631579,0.6343720108695652,,
neighborhood,FORDHAM,51,0.4150892553191489,0.09803921568627451,0.21568627450980393,0.251943203125,0.6274509803921569,0.27450980392156865,1.251943203125,,
neighborhood,FLUSHING-NORTH,2221,0.41154392523364486,0.16569113012156686,0.2935614588023413,0.3098118918918919,0.6258442143178748,0.20846465556055832,1.309811891891892,,
neighborhood,LITTLE NECK,221,0.41132185582822084,0.09502262443438914,0.22624434389140272,-0.35477039473684213,0.12669683257918551,0.7782805429864253,0.6452296052631579,,
neighborhood,SOUTHBRIDGE,119,0.40910965517241377,0.1092436974789916,0.29411764705882354,0.37147303921568625,0.7058823529411765,0.18487394957983194,1.3714730392156862,,
property_segment,SMALL_MULTI,3018,0.40757678888057114,0.133532140490391,0.2504970178926441,0.005287596153846154,0.4363817097415507,0.4300861497680583,1.005287596153846,,
neighborhood,CONEY ISLAND,198,0.4058566600678733,0.07575757575757576,0.18686868686868688,-0.37494694812972174,0.08585858585858586,0.8383838383838383,0.6250530518702782,,
borough_segment,4|WALKUP,1697,0.40435251046025106,0.12374779021803183,0.24337065409546257,-0.28377905634236456,0.2103712433706541,0.6658809664113141,0.7162209436576354,,
neighborhood,PROSPECT HEIGHTS,231,0.39602198412698414,0.12121212121212122,0.2597402597402597,-0.16273649193548387,0.30303030303030304,0.5757575757575758,0.8372635080645161,,
neighborhood,OCEAN PARKWAY-SOUTH,219,0.3875630681818182,0.091324200913242,0.2237442922374429,-0.1792284722222222,0.3698630136986301,0.5388127853881278,0.8207715277777777,,
borough_segment,3|ELEVATOR,4435,0.38736659482758623,0.13010146561443067,0.2696730552423901,0.07581653333333334,0.48703494926719276,0.38286358511837654,1.0758165333333334,,
neighborhood,WILLIAMSBURG-EAST,268,0.38703117597292724,0.1417910447761194,0.25,-0.028545018517914245,0.4141791044776119,0.44402985074626866,0.9714549814820858,,
neighborhood,FLATIRON,286,0.3852272210776694,0.12237762237762238,0.23076923076923078,0.15898482142857143,0.5244755244755245,0.3531468531468531,1.1589848214285714,,
neighborhood,BROOKLYN HEIGHTS,396,0.3840216183087891,0.12121212121212122,0.2474747474747475,-0.047244696132596686,0.4217171717171717,0.45707070707070707,0.9527553038674033,,
neighborhood,EAST VILLAGE,163,0.3840116141732283,0.15337423312883436,0.3312883435582822,0.23993558139534885,0.5705521472392638,0.27607361963190186,1.2399355813953488,,
neighborhood,NEW BRIGHTON-ST. GEORGE,36,0.38392106858054226,0.1111111111111111,0.19444444444444445,-0.19952314814814814,0.3611111111111111,0.5277777777777778,0.8004768518518519,,
neighborhood,DOUGLASTON,160,0.382071484375,0.15,0.2375,-0.29699993117524204,0.19375,0.65625,0.703000068824758,,
borough_segment,3|WALKUP,1687,0.37653141025641024,0.13278008298755187,0.26318909306461175,-0.0304573,0.4184943687018376,0.44872554831061057,0.9695427,,
neighborhood,TODT HILL,33,0.3764463068181818,0.15151515151515152,0.2727272727272727,-0.2023507573708412,0.21212121212121213,0.6363636363636364,0.7976492426291588,,
neighborhood,MADISON,267,0.37597386587771203,0.12359550561797752,0.24344569288389514,-0.160930225281602,0.32209737827715357,0.5543071161048689,0.8390697747183979,,
borough_segment,5|WALKUP,131,0.37595975961538464,0.09923664122137404,0.2748091603053435,-0.22451223021582734,0.26717557251908397,0.6335877862595419,0.7754877697841727,,
neighborhood,WILLIAMSBURG-SOUTH,147,0.3747272292993631,0.17006802721088435,0.2925170068027211,0.041377423263327946,0.46258503401360546,0.3673469387755102,1.041377423263328,,
neighborhood,PELHAM PARKWAY SOUTH,121,0.37383113839285714,0.1652892561983471,0.3305785123966942,0.026175,0.47107438016528924,0.36363636363636365,1.026175,,
neighborhood,BUSHWICK,393,0.3717434375,0.1450381679389313,0.2926208651399491,0.27287375,0.6157760814249363,0.23918575063613232,1.27287375,,
neighborhood,KINGSBRIDGE HTS/UNIV HTS,78,0.3693842824835526,0.2564102564102564,0.38461538461538464,0.2764727219304774,0.6410256410256411,0.10256410256410256,1.2764727219304774,,
borough_segment,3|SMALL_MULTI,1286,0.36861687933397835,0.15863141524105753,0.276049766718507,-0.06406626569350339,0.374805598755832,0.4665629860031104,0.9359337343064966,,
neighborhood,TOMPKINSVILLE,44,0.36609956144957984,0.13636363636363635,0.3409090909090909,0.2681994731182796,0.6363636363636364,0.22727272727272727,1.2681994731182797,,
neighborhood,WINDSOR TERRACE,132,0.365677612830033,0.14393939393939395,0.25757575757575757,-0.27271663765822785,0.1893939393939394,0.6666666666666666,0.7272833623417722,,
neighborhood,FIELDSTON,32,0.3553556145833333,0.0625,0.28125,-0.11539311498731582,0.4375,0.5,0.8846068850126843,,
neighborhood,ASTORIA,762,0.35391107991155113,0.19028871391076116,0.3359580052493438,-0.03434695054945055,0.36351706036745407,0.4461942257217848,0.9656530494505494,,
neighborhood,JAVITS CENTER,55,0.3537582142857143,0.18181818181818182,0.3090909090909091,-0.024442607313195547,0.43636363636363634,0.38181818181818183,0.9755573926868044,,
neighborhood,WOODLAWN,78,0.3510396546528447,0.20512820512820512,0.38461538461538464,0.3066189118571957,0.6153846153846154,0.1794871794871795,1.3066189118571958,,
neighborhood,MIDWOOD,300,0.350458443598751,0.17333333333333334,0.3233333333333333,0.11372717162554427,0.5166666666666667,0.31,1.1137271716255444,,
neighborhood,DOWNTOWN-METROTECH,88,0.3489413564544044,0.1590909090909091,0.29545454545454547,-0.033020339547293776,0.4318181818181818,0.4090909090909091,0.9669796604527062,,
neighborhood,MELROSE/CONCOURSE,170,0.348288252985842,0.10588235294117647,0.35294117647058826,0.348288252985842,0.6470588235294118,0.24705882352941178,1.348288252985842,,
neighborhood,WASHINGTON HEIGHTS UPPER,241,0.34754320652173915,0.1078838174273859,0.2821576763485477,0.17471229281767955,0.5477178423236515,0.34439834024896265,1.1747122928176796,,
neighborhood,GREENPOINT,338,0.3439629369712352,0.14201183431952663,0.3076923076923077,-0.03802427197802198,0.40828402366863903,0.44970414201183434,0.9619757280219781,,
neighborhood,FORT GREENE,148,0.33869670499446813,0.14864864864864866,0.2635135135135135,-0.08671024405893536,0.36486486486486486,0.4864864864864865,0.9132897559410647,,
neighborhood,FLATBUSH-CENTRAL,373,0.3340526282051282,0.16353887399463807,0.2868632707774799,-0.03578120967741936,0.38337801608579086,0.45308310991957107,0.9642187903225806,,
neighborhood,WILLIAMSBURG-NORTH,270,0.33363819325058086,0.1259259259259259,0.3148148148148148,0.055707402359589014,0.48518518518518516,0.3888888888888889,1.0557074023595892,,
neighborhood,MURRAY HILL,593,0.3326986969111969,0.15851602023608768,0.3288364249578415,-0.013573671875,0.3962900505902192,0.4451939291736931,0.986426328125,,
neighborhood,LOWER EAST SIDE,323,0.3321960576923077,0.1393188854489164,0.3157894736842105,-0.013904247488180437,0.43653250773993807,0.4241486068111455,0.9860957525118196,,
neighborhood,GRAMERCY,499,0.33193901515151514,0.16432865731462926,0.3226452905811623,0.06348347805113362,0.46693386773547096,0.3687374749498998,1.0634834780511335,,
neighborhood,MIDTOWN CBD,221,0.3319306756756757,0.11764705882352941,0.334841628959276,0.08543206453690123,0.4841628959276018,0.39819004524886875,1.0854320645369013,,
neighborhood,SUNSET PARK,381,0.33155538461538464,0.2283464566929134,0.34908136482939633,0.007828894472361809,0.4068241469816273,0.3648293963254593,1.007828894472362,,
neighborhood,DOWNTOWN-FULTON FERRY,170,0.32749678375160285,0.11176470588235295,0.24705882352941178,0.11148011769834351,0.5058823529411764,0.38235294117647056,1.1114801176983433,,
neighborhood,CLINTON HILL,270,0.32188002065227994,0.18518518518518517,0.35555555555555557,-0.14767628722570533,0.26296296296296295,0.5518518518518518,0.8523237127742946,,
neighborhood,PARK SLOPE,539,0.32099032534246574,0.15955473098330242,0.31910946196660483,-0.10326741176470589,0.3358070500927644,0.5046382189239332,0.8967325882352941,,
neighborhood,CARROLL GARDENS,167,0.31893497267759563,0.1377245508982036,0.30538922155688625,-0.2050525316455696,0.2275449101796407,0.6347305389221557,0.7949474683544304,,
neighborhood,CROWN HEIGHTS,480,0.31739380615942026,0.175,0.3229166666666667,0.008740777126350335,0.40208333333333335,0.42291666666666666,1.0087407771263504,,
neighborhood,FLATBUSH-LEFFERTS GARDEN,166,0.3140461564978806,0.14457831325301204,0.28313253012048195,-0.12407122724089636,0.3253012048192771,0.5301204819277109,0.8759287727591036,,
