period,borough,property_segment,n,median_sale_price,median_ppsf,ppsf_qoq_change
2024Q2,3,SINGLE_FAMILY,1362,1090000.0,556.8606385139101,0.04411369721358138
2024Q3,3,SINGLE_FAMILY,1382,1135000.0,571.7945589849945,0.026818057226918546
2024Q4,3,SINGLE_FAMILY,1369,1161808.0,567.3758865248227,-0.007727727364204906
2019Q1,3,SMALL_MULTI,241,865000.0,468.49025238023273,
2019Q2,3,SMALL_MULTI,274,887500.0,536.9022644022643,0.14602654308057517
2019Q3,3,SMALL_MULTI,215,830000.0,521.8787635487756,-0.027981816895882194
2019Q4,3,SMALL_MULTI,240,1000000.0,606.9476971116314,0.16300516423467215
2020Q1,3,SMALL_MULTI,261,809509.0,581.6607634789453,-0.041662459142727815
2020Q2,3,SMALL_MULTI,193,890000.0,606.4690026954178,0.04265070084509914
2020Q3,3,SMALL_MULTI,215,850000.0,528.599531615925,-0.12839810564663034
2020Q4,3,SMALL_MULTI,286,875500.0,528.6295520228589,5.679234493860541e-05
2021Q1,3,SMALL_MULTI,300,937500.0,613.3670105354158,0.16029648397124174
2021Q2,3,SMALL_MULTI,413,975000.0,602.9122392758757,-0.017044886796917957
2021Q3,3,SMALL_MULTI,435,965000.0,598.5744994731297,-0.00719464545612114
2021Q4,3,SMALL_MULTI,360,964304.5,535.8329234319968,-0.10481832436289629
2022Q1,3,SMALL_MULTI,406,946000.0,481.98051948051955,-0.10050223044630024
2022Q2,3,SMALL_MULTI,441,950000.0,557.0647931303669,0.15578279746819113
2022Q3,3,SMALL_MULTI,390,1065000.0,607.7891905111273,0.09105654854926315
2022Q4,3,SMALL_MULTI,233,1115000.0,582.4607329842931,-0.04167309639964789
2023Q1,3,SMALL_MULTI,245,1000000.0,600.0,0.030112359550561907
2023Q2,3,SMALL_MULTI,236,987000.0,546.448087431694,-0.08925318761384327
2023Q3,3,SMALL_MULTI,235,1125000.0,666.6666666666666,0.21999999999999975
2023Q4,3,SMALL_MULTI,212,987500.0,555.4545454545455,-0.16681818181818175
2024Q1,3,SMALL_MULTI,204,1150000.0,630.0423061786698,0.13428238428238415
2024Q2,3,SMALL_MULTI,244,1197500.0,629.4231069476971,-0.0009827899252168315
2024Q3,3,SMALL_MULTI,276,1080500.0,576.5248535134899,-0.08404243957729829
2024Q4,3,SMALL_MULTI,244,1205000.0,729.9848403485132,0.26618104301973955
2019Q1,3,WALKUP,301,880000.0,394.2307692307692,
2019Q2,3,WALKUP,387,995000.0,434.7826086956522,0.10286320254506887
2019Q3,3,WALKUP,326,857500.0,458.7214233702219,0.05505927375151032
2019Q4,3,WALKUP,317,985000.0,448.36116264687695,-0.022585081479796987
2020Q1,3,WALKUP,305,949000.0,454.8494983277592,0.014471225925498654
2020Q2,3,WALKUP,210,930000.0,415.88648566467424,-0.08566132931075299
2020Q3,3,WALKUP,174,905000.0,457.75361104126506,0.1006695981228587
2020Q4,3,WALKUP,347,930000.0,477.818853974122,0.04383415542526037
2021Q1,3,WALKUP,386,895000.0,462.6719320868257,-0.03170013439468988
2021Q2,3,WALKUP,531,989000.0,500.5411255411256,0.0818489102710327
2021Q3,3,WALKUP,536,999000.0,542.2192002540502,0.08326603466971316
2021Q4,3,WALKUP,494,1120000.0,432.62987012987014,-0.20211259592584196
2022Q1,3,WALKUP,430,975000.0,497.5124378109453,0.14997246413336707
2022Q2,3,WALKUP,534,1050000.0,518.9259259259259,0.043041111111110864
2022Q3,3,WALKUP,537,1015000.0,500.0,-0.03647134394404383
2022Q4,3,WALKUP,328,1075000.0,451.5944647350957,-0.09681107052980864
2023Q1,3,WALKUP,296,932500.0,472.1156570422971,0.045441638261086936
2023Q2,3,WALKUP,326,1101666.5,530.8631602531786,0.12443455821592964
