scope,borough,property_segment,feature,n,spearman_corr_log_ppsf,direction,abs_corr
borough_segment,1,SMALL_MULTI,total_units,1834,-0.0506241537633658,negative,0.0506241537633658
borough_segment,1,WALKUP,gross_square_feet,6562,0.04557669808625247,positive,0.04557669808625247
segment,ALL,SMALL_MULTI,building_age,15411,0.039339370729653426,positive,0.039339370729653426
borough,5,ALL,building_age,27565,0.035948286684519395,positive,0.035948286684519395
borough_segment,1,WALKUP,building_age,6562,0.03182771014428475,positive,0.03182771014428475
borough_segment,2,SINGLE_FAMILY,building_age,14290,-0.03144218314755092,negative,0.03144218314755092
borough_segment,3,WALKUP,building_age,8694,-0.020680490361850684,flat,0.020680490361850684
borough_segment,5,ELEVATOR,total_units,658,-0.019552048174230507,flat,0.019552048174230507
borough_segment,5,ELEVATOR,residential_units,658,-0.019552048174230507,flat,0.019552048174230507
borough_segment,1,ELEVATOR,distance_to_center_km,65554,-0.016729830997069952,flat,0.016729830997069952
borough,3,ALL,building_age,74715,-0.013387443533418919,flat,0.013387443533418919
borough,1,ALL,distance_to_center_km,80141,0.0011153253055132197,flat,0.0011153253055132197
borough,4,ALL,building_age,89300,-0.0003282096278570757,flat,0.0003282096278570757
