segment,period,feature,feature_type,baseline_scope,reference_n,current_n,missing_rate_train,missing_rate_test,psi,ks,cat_tvd,cat_unseen_rate,status
SMALL_MULTI,2024Q1,distance_to_center_km,numeric,segment,12393,485,0.0,0.0,0.10158903987961725,0.06386711487445937,,,warn
SMALL_MULTI,2024Q1,neighborhood,categorical,segment,12393,485,0.0,0.0,,,0.2605426575195009,0.012371134020618556,warn
SMALL_MULTI,2024Q1,residential_units,numeric,segment,7646,313,0.383038812232712,0.354639175257732,0.11886097672193399,0.03385261060722933,,,warn
SMALL_MULTI,2024Q1,total_units,numeric,segment,7646,313,0.383038812232712,0.354639175257732,0.10910692724050808,0.03415220972105115,,,warn
SMALL_MULTI,2024Q1,year_built,numeric,segment,12393,485,0.0,0.0,0.06776614750626181,0.13735439277743255,,,warn
SMALL_MULTI,2024Q2,residential_units,numeric,segment,7646,353,0.383038812232712,0.4016949152542373,0.10920837264867919,0.01164007324091028,,,warn
SMALL_MULTI,2024Q2,total_units,numeric,segment,7646,353,0.383038812232712,0.4016949152542373,0.10375787514543008,0.01310541014983857,,,warn
SMALL_MULTI,2024Q3,building_age,numeric,segment,12393,639,0.0,0.0,0.12570251824525602,0.10676858699197525,,,warn
SMALL_MULTI,2024Q3,residential_units,numeric,segment,7646,379,0.383038812232712,0.40688575899843504,0.1270506829363077,0.06387253376142321,,,warn
SMALL_MULTI,2024Q3,total_units,numeric,segment,7646,379,0.383038812232712,0.40688575899843504,0.11971170407315841,0.06282623504313922,,,warn
SMALL_MULTI,2024Q3,year_built,numeric,segment,12393,639,0.0,0.0,0.05019179023915155,0.10676858699197522,,,warn
SMALL_MULTI,2024Q4,building_age,numeric,segment,12393,561,0.0,0.0,0.1158114920469159,0.08721932469209157,,,warn
SMALL_MULTI,2024Q4,residential_units,numeric,segment,7646,333,0.383038812232712,0.40641711229946526,0.1519330385366926,0.11014571987629795,,,warn
SMALL_MULTI,2024Q4,total_units,numeric,segment,7646,333,0.383038812232712,0.40641711229946526,0.15080271728028127,0.10909942115801397,,,warn
SMALL_MULTI,2024Q4,year_built,numeric,segment,12393,561,0.0,0.0,0.11962550108490635,0.0872193246920916,,,warn
WALKUP,2023Q3,neighborhood,categorical,segment,20864,405,0.0,0.0,,,0.29737654320987655,0.0,warn
WALKUP,2023Q3,residential_units,numeric,segment,10064,221,0.5176380368098159,0.454320987654321,0.18460131863388968,0.08326709062003179,,,warn
WALKUP,2023Q3,total_units,numeric,segment,10064,221,0.5176380368098159,0.454320987654321,0.18872748408452317,0.08127980922098565,,,warn
WALKUP,2023Q4,residential_units,numeric,segment,10064,391,0.5176380368098159,0.5490196078431373,0.2036566769441126,0.07118787585539499,,,warn
WALKUP,2023Q4,total_units,numeric,segment,10064,391,0.5176380368098159,0.5490196078431373,0.20320520023105607,0.07088978364553811,,,warn
WALKUP,2024Q1,residential_units,numeric,segment,10064,426,0.5176380368098159,0.515358361774744,0.1901800101075173,0.05653302432507068,,,warn
WALKUP,2024Q1,total_units,numeric,segment,10064,426,0.5176380368098159,0.515358361774744,0.1935329372695017,0.0562349321152138,,,warn
WALKUP,2024Q2,residential_units,numeric,segment,10064,488,0.5176380368098159,0.5070707070707071,0.18245441976303362,0.0731221819698194,,,warn
WALKUP,2024Q2,total_units,numeric,segment,10064,488,0.5176380368098159,0.5070707070707071,0.18517944316641477,0.07302281789986709,,,warn
ELEVATOR,2023Q3,borough,numeric,segment,99989,1950,0.0,0.0,0.0037723463123508997,0.021762342575632032,,,ok
ELEVATOR,2023Q3,building_age,numeric,segment,99989,1950,0.0,0.0,0.015702459007205016,0.03114371811668515,,,ok
ELEVATOR,2023Q3,building_class,categorical,segment,99989,1950,0.0,0.0,,,0.025612766122222182,0.0,ok
ELEVATOR,2023Q3,distance_to_center_km,numeric,segment,99989,1950,0.0,0.0,0.019823058588663598,0.041407226589796675,,,ok
ELEVATOR,2023Q3,gross_square_feet,numeric,segment,99989,1950,0.0,0.0,0.003304483065194403,0.019528794321221482,,,ok
ELEVATOR,2023Q3,h3_price_lag,numeric,segment,99989,1950,0.0,0.0,0.006662466466278509,0.012432926596284533,,,ok
ELEVATOR,2023Q3,neighborhood,categorical,segment,99989,1950,0.0,0.0,,,0.13079374115768122,0.0,ok
ELEVATOR,2023Q3,property_segment,categorical,segment,99989,1950,0.0,0.0,,,0.0,0.0,ok
ELEVATOR,2023Q3,year_built,numeric,segment,99989,1950,0.0,0.0,0.008171043274946603,0.03114371811668515,,,ok
ELEVATOR,2023Q4,borough,numeric,segment,99989,4496,0.0,0.0,0.009958497384779198,0.03940463032784136,,,ok
ELEVATOR,2023Q4,building_age,numeric,segment,99989,4496,0.0,0.0,0.016593337964578812,0.027870381133383748,,,ok
ELEVATOR,2023Q4,building_class,categorical,segment,99989,4496,0.0,0.0,,,0.03858632412198796,0.0,ok
ELEVATOR,2023Q4,distance_to_center_km,numeric,segment,99989,4496,0.0,0.0,0.009995710236868136,0.019981875497407875,,,ok
ELEVATOR,2023Q4,gross_square_feet,numeric,segment,99989,4496,0.0,0.0,0.019335708776032308,0.035147774173308555,,,ok
ELEVATOR,2023Q4,h3_price_lag,numeric,segment,99989,4496,0.0,0.0,0.012711270337631869,0.035455492630879826,,,ok
ELEVATOR,2023Q4,neighborhood,categorical,segment,99989,4496,0.0,0.0,,,0.10654749869460725,0.0,ok
ELEVATOR,2023Q4,property_segment,categorical,segment,99989,4496,0.0,0.0,,,0.0,0.0,ok
ELEVATOR,2023Q4,year_built,numeric,segment,99989,4496,0.0,0.0,0.011813417059713758,0.027870381133383804,,,ok
ELEVATOR,2024Q1,borough,numeric,segment,99989,4158,0.0,0.0,0.0023887223565511513,0.01989597403092891,,,ok
ELEVATOR,2024Q1,building_age,numeric,segment,99989,4158,0.0,0.0,0.02902259444323079,0.04161018077548896,,,ok
ELEVATOR,2024Q1,building_class,categorical,segment,99989,4158,0.0,0.0,,,0.04241332347424018,0.0,ok
ELEVATOR,2024Q1,distance_to_center_km,numeric,segment,99989,4158,0.0,0.0,0.009213340362492203,0.020549420128373908,,,ok
ELEVATOR,2024Q1,gross_square_feet,numeric,segment,99989,4158,0.0,0.0,0.00943382813297115,0.036193757648117664,,,ok
ELEVATOR,2024Q1,h3_price_lag,numeric,segment,99989,4158,0.0,0.0,0.009832587828553814,0.03496869504130301,,,ok
ELEVATOR,2024Q1,neighborhood,categorical,segment,99989,4158,0.0,0.0,,,0.1176339666723609,0.0,ok
ELEVATOR,2024Q1,property_segment,categorical,segment,99989,4158,0.0,0.0,,,0.0,0.0,ok
ELEVATOR,2024Q1,year_built,numeric,segment,99989,4158,0.0,0.0,0.017399485365536434,0.04161018077548895,,,ok
ELEVATOR,2024Q2,borough,numeric,segment,99989,5202,0.0,0.0,0.006713204450403937,0.017463053192675493,,,ok
ELEVATOR,2024Q2,building_age,numeric,segment,99989,5202,0.0,0.0,0.016520470006862194,0.033677833742795905,,,ok
ELEVATOR,2024Q2,building_class,categorical,segment,99989,5202,0.0,0.0,,,0.009741009996297557,0.0,ok
ELEVATOR,2024Q2,distance_to_center_km,numeric,segment,99989,5202,0.0,0.0,0.015678434032008352,0.027241301041384447,,,ok
ELEVATOR,2024Q2,gross_square_feet,numeric,segment,99989,5202,0.0,0.0,0.01259044775343392,0.026125422816117627,,,ok
ELEVATOR,2024Q2,h3_price_lag,numeric,segment,99989,5202,0.0,0.0,0.012181386779391491,0.030880955536404686,,,ok
ELEVATOR,2024Q2,neighborhood,categorical,segment,99989,5202,0.0,0.0,,,0.1196400289152914,0.00019223375624759708,ok
ELEVATOR,2024Q2,property_segment,categorical,segment,99989,5202,0.0,0.0,,,0.0,0.0,ok
ELEVATOR,2024Q2,residential_units,numeric,segment,48433,2498,0.5156167178389622,0.5198000768935025,0.06041253724330905,0.016158637479223362,,,ok
ELEVATOR,2024Q2,total_units,numeric,segment,48433,2498,0.5156167178389622,0.5198000768935025,0.06041253724330905,0.016158637479223362,,,ok
ELEVATOR,2024Q2,year_built,numeric,segment,99989,5202,0.0,0.0,0.010663895867666928,0.03367783374279587,,,ok
ELEVATOR,2024Q3,borough,numeric,segment,99989,5130,0.0,0.0,0.003644172372195837,0.015989363118442124,,,ok
ELEVATOR,2024Q3,building_age,numeric,segment,99989,5130,0.0,0.0,0.014816563661044928,0.0439567904126374,,,ok
ELEVATOR,2024Q3,building_class,categorical,segment,99989,5130,0.0,0.0,,,0.019213910801143333,0.0,ok
ELEVATOR,2024Q3,distance_to_center_km,numeric,segment,99989,5130,0.0,0.0,0.0037562759281819244,0.030871376358222014,,,ok
ELEVATOR,2024Q3,gross_square_feet,numeric,segment,99989,5130,0.0,0.0,0.001742602125030238,0.017256785185941592,,,ok
ELEVATOR,2024Q3,h3_price_lag,numeric,segment,99989,5130,0.0,0.0,0.0041637065184275835,0.013589627412621597,,,ok
ELEVATOR,2024Q3,neighborhood,categorical,segment,99989,5130,0.0,0.0,,,0.09124693189935107,0.0,ok
ELEVATOR,2024Q3,property_segment,categorical,segment,99989,5130,0.0,0.0,,,0.0,0.0,ok
ELEVATOR,2024Q3,year_built,numeric,segment,99989,5130,0.0,0.0,0.00633146697674584,0.04395679041263734,,,ok
ELEVATOR,2024Q4,borough,numeric,segment,99989,4847,0.0,0.0,0.02332182045010757,0.052554388368732496,,,ok
ELEVATOR,2024Q4,building_age,numeric,segment,99989,4847,0.0,0.0,0.021419685435098076,0.06462814272474862,,,ok
ELEVATOR,2024Q4,building_class,categorical,segment,99989,4847,0.0,0.0,,,0.017517804821125756,0.0,ok
ELEVATOR,2024Q4,distance_to_center_km,numeric,segment,99989,4847,0.0,0.0,0.024971513698936108,0.03226606422477052,,,ok
ELEVATOR,2024Q4,gross_square_feet,numeric,segment,99989,4847,0.0,0.0,0.015727377545676605,0.03352916994997773,,,ok
ELEVATOR,2024Q4,h3_price_lag,numeric,segment,99989,4847,0.0,0.0,0.011049418170479518,0.05105836863841695,,,ok
ELEVATOR,2024Q4,neighborhood,categorical,segment,99989,4847,0.0,0.0,,,0.13177676695251414,0.0,ok
ELEVATOR,2024Q4,property_segment,categorical,segment,99989,4847,0.0,0.0,,,0.0,0.0,ok
ELEVATOR,2024Q4,year_built,numeric,segment,99989,4847,0.0,0.0,0.02100476675819291,0.0646281427247486,,,ok
SINGLE_FAMILY,2023Q3,borough,numeric,segment,103119,1911,0.0,0.0,0.005223143406401241,0.020962323284328524,,,ok
SINGLE_FAMILY,2023Q3,building_age,numeric,segment,103119,1911,0.0,0.0,0.013495827843662656,0.02170652147585872,,,ok
SINGLE_FAMILY,2023Q3,building_class,categorical,segment,103119,1911,0.0,0.0,,,0.025464156019284416,0.0,ok
