segment,period,feature,n,missing_n,missing_rate
SMALL_MULTI,2024Q3,year_built,639,0,0.0
SMALL_MULTI,2024Q4,borough,561,0,0.0
SMALL_MULTI,2024Q4,building_age,561,0,0.0
SMALL_MULTI,2024Q4,building_class,561,0,0.0
SMALL_MULTI,2024Q4,days_since_2019_start,561,0,0.0
SMALL_MULTI,2024Q4,distance_to_center_km,561,0,0.0
SMALL_MULTI,2024Q4,gross_square_feet,561,0,0.0
SMALL_MULTI,2024Q4,h3_price_lag,561,0,0.0
SMALL_MULTI,2024Q4,month_cos,561,0,0.0
SMALL_MULTI,2024Q4,month_sin,561,0,0.0
SMALL_MULTI,2024Q4,neighborhood,561,0,0.0
SMALL_MULTI,2024Q4,property_segment,561,0,0.0
SMALL_MULTI,2024Q4,rate_regime_bucket,561,0,0.0
SMALL_MULTI,2024Q4,residential_units,561,228,0.40641711229946526
SMALL_MULTI,2024Q4,total_units,561,228,0.40641711229946526
SMALL_MULTI,2024Q4,year_built,561,0,0.0
WALKUP,2023Q3,borough,405,0,0.0
WALKUP,2023Q3,building_age,405,0,0.0
WALKUP,2023Q3,building_class,405,0,0.0
WALKUP,2023Q3,days_since_2019_start,405,0,0.0
WALKUP,2023Q3,distance_to_center_km,405,0,0.0
WALKUP,2023Q3,gross_square_feet,405,0,0.0
WALKUP,2023Q3,h3_price_lag,405,0,0.0
WALKUP,2023Q3,month_cos,405,0,0.0
WALKUP,2023Q3,month_sin,405,0,0.0
WALKUP,2023Q3,neighborhood,405,0,0.0
WALKUP,2023Q3,property_segment,405,0,0.0
WALKUP,2023Q3,rate_regime_bucket,405,0,0.0
WALKUP,2023Q3,residential_units,405,184,0.454320987654321
WALKUP,2023Q3,total_units,405,184,0.454320987654321
WALKUP,2023Q3,year_built,405,0,0.0
WALKUP,2023Q4,borough,867,0,0.0
WALKUP,2023Q4,building_age,867,0,0.0
WALKUP,2023Q4,building_class,867,0,0.0
WALKUP,2023Q4,days_since_2019_start,867,0,0.0
WALKUP,2023Q4,distance_to_center_km,867,0,0.0
WALKUP,2023Q4,gross_square_feet,867,0,0.0
WALKUP,2023Q4,h3_price_lag,867,0,0.0
WALKUP,2023Q4,month_cos,867,0,0.0
WALKUP,2023Q4,month_sin,867,0,0.0
WALKUP,2023Q4,neighborhood,867,0,0.0
WALKUP,2023Q4,property_segment,867,0,0.0
WALKUP,2023Q4,rate_regime_bucket,867,0,0.0
WALKUP,2023Q4,residential_units,867,476,0.5490196078431373
WALKUP,2023Q4,total_units,867,476,0.5490196078431373
WALKUP,2023Q4,year_built,867,0,0.0
WALKUP,2024Q1,borough,879,0,0.0
WALKUP,2024Q1,building_age,879,0,0.0
WALKUP,2024Q1,building_class,879,0,0.0
